Date,Total Consumption [MWh],Average Consumption [MW],Storage Cycle [MWh]
2015-01-01,999209.25,45418.6,49345.38
2015-01-02,1285132.5,53547.19,84074.88
2015-01-03,1212828.25,50534.51,74485.35
2015-01-04,1176627.25,49026.14,66642.35
2015-01-05,1415671.0,58986.29,101573.88
2015-01-06,1434644.5,59776.85,75177.04
2015-01-07,1541732.5,64238.85,103733.94
2015-01-08,1576260.5,65677.52,93972.21
2015-01-09,1555531.25,64813.8,98263.52
2015-01-10,1339679.0,55819.96,61160.04
2015-01-11,1241531.75,51730.49,68235.64
2015-01-12,1561344.25,65056.01,121722.1
2015-01-13,1561669.0,65069.54,93850.42
2015-01-14,1551057.0,64627.38,103536.0
2015-01-15,1581095.75,65878.99,97345.65
2015-01-16,1539104.25,64129.34,90411.69
2015-01-17,1337320.75,55721.7,55081.48
2015-01-18,1239927.0,51663.63,58538.63
2015-01-19,1548748.25,64531.18,116237.09
2015-01-20,1594673.25,66444.72,99178.44
2015-01-21,1593427.5,66392.81,95399.88
2015-01-22,1605112.25,66879.68,96664.27
2015-01-23,1583099.25,65962.47,88879.19
2015-01-24,1402340.25,58430.84,46462.88
2015-01-25,1263859.0,52660.79,57295.17
2015-01-26,1568722.0,65363.42,116748.0
2015-01-27,1594331.0,66430.46,89121.08
2015-01-28,1609578.0,67065.75,101980.25
2015-01-29,1599651.25,66652.14,99332.6
2015-01-30,1564333.5,65180.56,86697.38
2015-01-31,1357991.25,56582.97,48229.69
2015-02-01,1246089.5,51920.4,55056.85
2015-02-02,1579292.5,65803.85,110379.94
2015-02-03,1620212.25,67508.84,85634.44
2015-02-04,1625335.5,67722.31,86851.88
2015-02-05,1623691.5,67653.81,86452.13
2015-02-06,1600059.5,66669.15,77652.71
2015-02-07,1408368.5,58682.02,44825.71
2015-02-08,1277227.0,53217.79,53296.17
2015-02-09,1586619.5,66109.15,108873.31
2015-02-10,1600781.5,66699.23,91008.54
2015-02-11,1592894.5,66370.6,91782.79
2015-02-12,1594530.75,66438.78,83762.56
2015-02-13,1564889.75,65203.74,75794.65
2015-02-14,1359209.75,56633.74,43706.12
2015-02-15,1242105.0,51754.38,45974.75
2015-02-16,1500016.0,62500.67,94858.25
2015-02-17,1580881.25,65870.05,87038.77
