Date,Time,Load,Hydropower,Wind onshore,Wind offshore,Photovoltaics
2015-01-01,00:00,44600.25,1158.25,0.2156,0.5201,0.0
2015-01-01,01:00,43454.75,1188.00,0.2201,0.5199,0.0
2015-01-01,02:00,41963.25,1139.25,0.2265,0.5176,0.0
2015-01-01,03:00,40617.75,1122.50,0.2268,0.5214,0.0
2015-01-01,04:00,39936.75,1112.00,0.2293,0.5234,0.0
2015-01-01,05:00,39272.5,1107.75,0.2311,0.5237,0.0
2015-01-01,06:00,37850.25,1111.75,0.2432,0.5252,0.0
2015-01-01,07:00,38098.5,1113.75,0.2602,0.5239,0.0
2015-01-01,08:00,38792.5,1107.50,0.2568,0.529,0.0014
2015-01-01,09:00,41406.25,1121.00,0.252,0.5307,0.0207
2015-01-01,10:00,44266.5,1122.00,0.2659,0.5287,0.0568
2015-01-01,11:00,47206.25,1146.25,0.2881,0.531,0.0903
2015-01-01,12:00,48502.25,1139.75,0.307,0.5315,0.1126
2015-01-01,13:00,47527.75,1128.00,0.3177,0.5315,0.0939
2015-01-01,14:00,46772.0,1154.75,0.3023,0.5284,0.0611
2015-01-01,15:00,46733.5,1160.00,0.3004,0.5282,0.02
2015-01-01,16:00,49116.75,1145.75,0.3464,0.5282,0.0013
2015-01-01,17:00,53624.25,1171.50,0.3955,0.5282,0.0
2015-01-01,18:00,54305.25,1168.50,0.4335,0.5277,0.0
2015-01-01,19:00,53634.5,1157.75,0.4638,0.5272,0.0
2015-01-01,20:00,51435.75,1168.25,0.4949,0.5259,0.0
2015-01-01,21:00,50091.75,1186.50,0.526,0.5247,0.0
2015-01-01,22:00,50165.25,1170.25,0.5495,0.5232,0.0
2015-01-01,23:00,47478.25,1162.00,0.5726,0.4975,0.0
2015-01-02,00:00,44460.5,1122.00,0.5878,0.3052,0.0
2015-01-02,01:00,42670.5,1129.25,0.6141,0.2767,0.0
2015-01-02,02:00,41735.5,1124.25,0.6355,0.2822,0.0
2015-01-02,03:00,41656.75,1133.25,0.6552,0.325,0.0
2015-01-02,04:00,42468.5,1122.25,0.6732,0.3352,0.0
2015-01-02,05:00,43863.75,1100.75,0.6837,0.3885,0.0
2015-01-02,06:00,46318.75,1116.50,0.6857,0.4986,0.0
2015-01-02,07:00,50579.25,1129.00,0.6814,0.4986,0.0
2015-01-02,08:00,54583.25,1130.00,0.6924,0.4803,0.001
2015-01-02,09:00,57713.25,1091.25,0.678,0.3678,0.0068
2015-01-02,10:00,59730.75,1090.00,0.6692,0.4063,0.0179
2015-01-02,11:00,61311.5,1109.50,0.6733,0.4198,0.0339
2015-01-02,12:00,61503.75,1104.50,0.669,0.4146,0.0463
2015-01-02,13:00,60480.5,1098.00,0.6726,0.4313,0.051
2015-01-02,14:00,59254.25,1114.75,0.6579,0.4861,0.0363
2015-01-02,15:00,58552.5,1114.50,0.6495,0.4896,0.0138
2015-01-02,16:00,59910.25,1128.00,0.6424,0.4939,0.0012
2015-01-02,17:00,62960.25,1139.75,0.6314,0.4924,0.0
2015-01-02,18:00,63258.75,1154.50,0.6506,0.4756,0.0
2015-01-02,19:00,61549.0,1166.50,0.6439,0.5021,0.0
2015-01-02,20:00,57719.5,1159.00,0.6302,0.5119,0.0
2015-01-02,21:00,55208.0,1147.00,0.6335,0.4766,0.0
2015-01-02,22:00,53548.25,1170.50,0.6376,0.5026,0.0
2015-01-02,23:00,47877.5,1192.75,0.6404,0.4758,0.0
2015-01-03,00:00,44219.0,1181.00,0.6248,0.5064,0.0
2015-01-03,01:00,41929.25,1184.25,0.6036,0.5064,0.0
2015-01-03,02:00,40539.5,1226.25,0.5728,0.5099,0.0
2015-01-03,03:00,40216.75,1234.00,0.541,0.5092,0.0
2015-01-03,04:00,40511.75,1169.75,0.5243,0.5102,0.0
2015-01-03,05:00,40922.0,1180.25,0.5301,0.5102,0.0
2015-01-03,06:00,42200.0,1186.25,0.5518,0.5102,0.0
2015-01-03,07:00,44595.5,1192.75,0.5682,0.5102,0.0
2015-01-03,08:00,47848.5,1195.50,0.5957,0.5092,0.002
2015-01-03,09:00,51335.0,1245.50,0.6078,0.4895,0.0163
2015-01-03,10:00,53980.0,1239.75,0.5998,0.4711,0.0343
2015-01-03,11:00,56019.25,1242.25,0.6025,0.4995,0.0456
2015-01-03,12:00,56022.25,1249.75,0.5925,0.4766,0.0434
2015-01-03,13:00,55898.25,1272.50,0.5477,0.5129,0.031
2015-01-03,14:00,54996.0,1286.50,0.5024,0.5102,0.0157
2015-01-03,15:00,54869.75,1326.75,0.4501,0.4861,0.0052
2015-01-03,16:00,57122.0,1338.50,0.4126,0.4726,0.0006
2015-01-03,17:00,60276.75,1364.00,0.3947,0.4853,0.0
2015-01-03,18:00,60626.75,1382.75,0.3695,0.5104,0.0
2015-01-03,19:00,59285.25,1424.50,0.3296,0.5112,0.0
2015-01-03,20:00,55267.25,1463.00,0.3541,0.5107,0.0
2015-01-03,21:00,52721.75,1486.50,0.3898,0.5114,0.0
2015-01-03,22:00,52364.75,1513.50,0.4055,0.5119,0.0
2015-01-03,23:00,49542.25,1550.00,0.446,0.5114,0.0
2015-01-04,00:00,46426.0,1620.50,0.4599,0.5085,0.0
2015-01-04,01:00,42268.5,1717.50,0.483,0.5077,0.0
2015-01-04,02:00,40835.0,1790.75,0.4873,0.5055,0.0
2015-01-04,03:00,40213.75,1826.75,0.4893,0.4979,0.0
2015-01-04,04:00,40328.5,1853.25,0.4928,0.4991,0.0
2015-01-04,05:00,39899.25,1867.75,0.4836,0.4981,0.0
2015-01-04,06:00,39316.25,1856.00,0.4805,0.4927,0.0
2015-01-04,07:00,41820.0,1845.75,0.4638,0.4897,0.0
2015-01-04,08:00,44653.25,1806.25,0.4628,0.4934,0.0016
2015-01-04,09:00,47858.5,1820.00,0.4441,0.4858,0.0261
2015-01-04,10:00,51218.5,1796.25,0.4327,0.4919,0.0743
2015-01-04,11:00,54499.75,1769.50,0.4348,0.4951,0.1113
2015-01-04,12:00,54814.0,1729.50,0.4337,0.4798,0.1228
2015-01-04,13:00,53261.75,1711.75,0.429,0.4657,0.1071
2015-01-04,14:00,51518.75,1743.00,0.4142,0.4835,0.0649
2015-01-04,15:00,51112.5,1718.75,0.387,0.4761,0.0255
2015-01-04,16:00,53144.25,1718.00,0.3632,0.4534,0.0022
2015-01-04,17:00,57620.5,1725.00,0.3512,0.4586,0.0
2015-01-04,18:00,58718.0,1743.50,0.352,0.464,0.0
2015-01-04,19:00,57272.0,1732.50,0.3663,0.4237,0.0
2015-01-04,20:00,54703.0,1728.75,0.3634,0.4168,0.0
2015-01-04,21:00,53218.25,1706.50,0.3356,0.4013,0.0
2015-01-04,22:00,53129.5,1705.50,0.3179,0.4601,0.0
2015-01-04,23:00,50046.25,1679.25,0.3179,0.4551,0.0
2015-01-05,00:00,46668.0,1680.25,0.3139,0.4653,0.0
2015-01-05,01:00,44627.0,1676.50,0.3131,0.4565,0.0
2015-01-05,02:00,43635.5,1661.50,0.3232,0.4533,0.0
2015-01-05,03:00,43683.25,1644.00,0.3263,0.4422,0.0
2015-01-05,04:00,44969.25,1632.00,0.3469,0.4454,0.0
2015-01-05,05:00,48337.0,1623.25,0.3814,0.4501,0.0
2015-01-05,06:00,54207.0,1607.25,0.3969,0.4226,0.0
2015-01-05,07:00,60386.75,1590.00,0.3953,0.3892,0.0
2015-01-05,08:00,63924.25,1577.25,0.3936,0.3295,0.0025
2015-01-05,09:00,65156.75,1557.75,0.3786,0.317,0.0284
2015-01-05,10:00,66469.25,1563.00,0.3527,0.3261,0.0801
2015-01-05,11:00,67602.25,1564.50,0.3167,0.3502,0.1279
2015-01-05,12:00,67636.0,1567.75,0.2837,0.4039,0.1574
2015-01-05,13:00,66802.0,1562.50,0.2493,0.3799,0.152
2015-01-05,14:00,65685.5,1590.00,0.2,0.3138,0.1098
2015-01-05,15:00,64962.0,1577.00,0.1572,0.2686,0.0479
2015-01-05,16:00,66092.75,1583.50,0.1293,0.1925,0.0053
2015-01-05,17:00,69742.25,1539.25,0.1153,0.152,0.0
2015-01-05,18:00,69720.0,1556.25,0.1081,0.1542,0.0
2015-01-05,19:00,67962.0,1554.25,0.0982,0.2131,0.0
2015-01-05,20:00,63636.5,1549.75,0.0799,0.1689,0.0
2015-01-05,21:00,60590.0,1541.25,0.0657,0.1542,0.0
2015-01-05,22:00,58824.25,1546.50,0.0513,0.1707,0.0
2015-01-05,23:00,54608.0,1547.25,0.0429,0.1883,0.0
2015-01-06,00:00,51225.25,1555.50,0.0347,0.1755,0.0
2015-01-06,01:00,48868.75,1551.25,0.0268,0.1564,0.0
2015-01-06,02:00,47870.25,1546.00,0.0202,0.1408,0.0
2015-01-06,03:00,47882.0,1537.00,0.0186,0.1333,0.0
2015-01-06,04:00,48621.75,1552.25,0.0202,0.1484,0.0
2015-01-06,05:00,50383.75,1534.00,0.0246,0.1703,0.0
2015-01-06,06:00,54532.75,1527.25,0.0327,0.1945,0.0
2015-01-06,07:00,59774.75,1518.25,0.0413,0.227,0.0
2015-01-06,08:00,62364.0,1512.25,0.0515,0.2299,0.0049
2015-01-06,09:00,63721.25,1507.75,0.0633,0.2257,0.0551
2015-01-06,10:00,65305.25,1490.50,0.0743,0.2545,0.1259
2015-01-06,11:00,66568.5,1510.75,0.0834,0.2804,0.1786
2015-01-06,12:00,66469.75,1529.25,0.0826,0.2838,0.195
2015-01-06,13:00,65354.75,1494.00,0.0925,0.275,0.1703
2015-01-06,14:00,63664.75,1473.50,0.1075,0.2831,0.1061
2015-01-06,15:00,63218.25,1456.50,0.1289,0.3158,0.0417
2015-01-06,16:00,64718.75,1461.00,0.1669,0.3634,0.0044
2015-01-06,17:00,68942.75,1459.25,0.2045,0.3932,0.0
2015-01-06,18:00,68904.0,1491.75,0.238,0.3841,0.0
2015-01-06,19:00,67558.25,1488.00,0.2434,0.3785,0.0
2015-01-06,20:00,64011.75,1477.25,0.2461,0.4134,0.0
2015-01-06,21:00,61251.0,1492.25,0.2347,0.3934,0.0
2015-01-06,22:00,58824.0,1482.25,0.2441,0.4398,0.0
2015-01-06,23:00,54838.75,1505.25,0.2397,0.4635,0.0
2015-01-07,00:00,51271.75,1496.75,0.2289,0.4686,0.0
2015-01-07,01:00,49121.0,1473.75,0.2133,0.448,0.0
2015-01-07,02:00,48432.25,1460.50,0.2065,0.3796,0.0
2015-01-07,03:00,48543.5,1455.50,0.2204,0.3774,0.0
2015-01-07,04:00,49565.0,1457.25,0.2215,0.3772,0.0
2015-01-07,05:00,53033.75,1484.00,0.2151,0.3182,0.0
2015-01-07,06:00,60785.75,1457.25,0.2168,0.2659,0.0
2015-01-07,07:00,67805.25,1460.75,0.2069,0.246,0.0
2015-01-07,08:00,70909.5,1504.25,0.197,0.277,0.0014
2015-01-07,09:00,71157.0,1485.50,0.184,0.3394,0.0163
2015-01-07,10:00,72276.25,1475.25,0.1779,0.3835,0.0486
2015-01-07,11:00,73371.75,1463.75,0.1788,0.4631,0.0821
2015-01-07,12:00,73047.5,1436.25,0.1842,0.4885,0.1013
2015-01-07,13:00,72257.75,1436.25,0.193,0.4732,0.0996
2015-01-07,14:00,71100.25,1439.50,0.181,0.4805,0.0751
2015-01-07,15:00,70205.25,1452.25,0.1744,0.4934,0.031
2015-01-07,16:00,70844.75,1459.75,0.1862,0.5019,0.0036
2015-01-07,17:00,74556.75,1530.00,0.2165,0.5089,0.0
2015-01-07,18:00,74243.0,1486.50,0.2567,0.499,0.0
2015-01-07,19:00,72368.0,1476.25,0.2875,0.5094,0.0
2015-01-07,20:00,68216.75,1550.25,0.3249,0.5191,0.0
2015-01-07,21:00,64957.0,1476.75,0.3569,0.5193,0.0
2015-01-07,22:00,62767.0,1514.50,0.3715,0.5189,0.0
2015-01-07,23:00,58060.25,1529.75,0.3775,0.5193,0.0
