Date,Time,Load,Hydropower,Wind onshore,Wind offshore,Photovoltaics
2015-01-01,00:00,42155.75,1158.25,0.1998,0.2603,0.0
2015-01-01,01:00,39969.5,1188.00,0.2128,0.2606,0.0
2015-01-01,02:00,38813.0,1139.25,0.2163,0.2603,0.0
2015-01-01,03:00,38490.0,1122.50,0.2186,0.2608,0.0
2015-01-01,04:00,38643.75,1112.00,0.223,0.2623,0.0
2015-01-01,05:00,38773.25,1107.75,0.2278,0.2638,0.0
2015-01-01,06:00,37247.5,1111.75,0.2323,0.2651,0.0
2015-01-01,07:00,40371.5,1113.75,0.2401,0.2659,0.0
2015-01-01,08:00,42522.0,1107.50,0.251,0.2669,0.0015
2015-01-01,09:00,45020.5,1121.00,0.2615,0.2671,0.0191
2015-01-01,10:00,47101.0,1122.00,0.268,0.2679,0.0501
2015-01-01,11:00,49603.25,1146.25,0.2668,0.2679,0.0768
2015-01-01,12:00,49909.75,1139.75,0.2664,0.2681,0.0905
2015-01-01,13:00,47528.0,1128.00,0.2701,0.2689,0.0845
2015-01-01,14:00,47096.5,1154.75,0.277,0.2684,0.0588
2015-01-01,15:00,47383.0,1160.00,0.291,0.2679,0.0233
2015-01-01,16:00,48935.75,1145.75,0.3086,0.2679,0.0029
2015-01-01,17:00,52288.0,1171.50,0.3275,0.2679,0.0
2015-01-01,18:00,53367.25,1168.50,0.3493,0.2679,0.0
2015-01-01,19:00,52598.75,1157.75,0.3749,0.2671,0.0
2015-01-01,20:00,50020.25,1168.25,0.4055,0.2669,0.0
2015-01-01,21:00,48096.25,1186.50,0.4383,0.2676,0.0
2015-01-01,22:00,47803.5,1170.25,0.4725,0.2679,0.0
2015-01-01,23:00,44876.0,1162.00,0.509,0.2679,0.0
2015-01-02,00:00,40078.25,1122.00,0.5887,0.6235,0.0
2015-01-02,01:00,38711.5,1129.25,0.6319,0.6147,0.0
2015-01-02,02:00,37819.75,1124.25,0.6541,0.6184,0.0
2015-01-02,03:00,37828.25,1133.25,0.6732,0.6252,0.0
2015-01-02,04:00,38924.75,1122.25,0.6912,0.5829,0.0
2015-01-02,05:00,40502.5,1100.75,0.7059,0.5969,0.0
2015-01-02,06:00,43400.25,1116.50,0.7146,0.6064,0.0
2015-01-02,07:00,49039.75,1129.00,0.7162,0.6132,0.0
2015-01-02,08:00,51540.0,1130.00,0.7164,0.6187,0.0013
2015-01-02,09:00,53133.0,1091.25,0.7143,0.6222,0.0116
2015-01-02,10:00,54445.5,1090.00,0.7094,0.6252,0.0252
2015-01-02,11:00,55685.5,1109.50,0.7045,0.6277,0.036
2015-01-02,12:00,55626.75,1104.50,0.7001,0.6345,0.0381
2015-01-02,13:00,53698.0,1098.00,0.6939,0.6355,0.0314
2015-01-02,14:00,53314.75,1114.75,0.6823,0.6357,0.0207
2015-01-02,15:00,53275.0,1114.50,0.6695,0.6132,0.007
2015-01-02,16:00,54490.75,1128.00,0.662,0.6192,0.0008
2015-01-02,17:00,57232.75,1139.75,0.6595,0.6235,0.0
