Date,Start,Total (grid load) [MWh],Residual load [MWh]
2015-01-01,00:00,42155.75,34365.50
2015-01-01,01:00,39969.50,31689.50
2015-01-01,02:00,38813.00,30400.25
2015-01-01,03:00,38490.00,29987.75
2015-01-01,04:00,38643.75,29975.25
2015-01-01,05:00,38773.25,29924.00
2015-01-01,06:00,37247.50,28225.00
2015-01-01,07:00,40371.50,31057.25
2015-01-01,08:00,42522.00,32741.00
2015-01-01,09:00,45020.50,34182.50
2015-01-01,10:00,47101.00,34863.00
2015-01-01,11:00,49603.25,36415.50
2015-01-01,12:00,49909.75,36228.00
2015-01-01,13:00,47528.00,33927.25
2015-01-01,14:00,47096.50,34196.25
2015-01-01,15:00,47383.00,35275.50
2015-01-01,16:00,48935.75,36927.00
2015-01-01,17:00,52288.00,39674.75
2015-01-01,18:00,53367.25,39931.50
2015-01-01,19:00,52598.75,38201.00
2015-01-01,20:00,50020.25,34466.50
2015-01-01,21:00,48096.25,31307.25
2015-01-01,22:00,47803.50,29725.25
2015-01-01,23:00,44876.00,25419.50
2015-01-02,00:00,40078.25,17255.75
2015-01-02,01:00,38711.50,14266.75
2015-01-02,02:00,37819.75,12535.00
2015-01-02,03:00,37828.25,11818.00
2015-01-02,04:00,38924.75,12275.75
2015-01-02,05:00,40502.50,13288.00
2015-01-02,06:00,43400.25,15848.00
2015-01-02,07:00,49039.75,21417.50
2015-01-02,08:00,51540.00,23856.25
2015-01-02,09:00,53133.00,25142.00
2015-01-02,10:00,54445.50,26127.50
2015-01-02,11:00,55685.50,27146.50
2015-01-02,12:00,55626.75,27169.25
2015-01-02,13:00,53698.00,25725.75
2015-01-02,14:00,53314.75,26177.75
2015-01-02,15:00,53275.00,27150.75
2015-01-02,16:00,54490.75,28879.25
2015-01-02,17:00,57232.75,31740.00
2015-01-02,18:00,57268.00,31904.00
2015-01-02,19:00,55583.50,30356.00
2015-01-02,20:00,51783.50,26763.50
2015-01-02,21:00,47797.50,23067.00
2015-01-02,22:00,45972.50,21503.75
2015-01-02,23:00,44473.75,20261.25
2015-01-03,00:00,42341.25,18397.75
2015-01-03,01:00,40962.50,16994.50
2015-01-03,02:00,39777.50,16518.50
2015-01-03,03:00,39824.50,17325.50
2015-01-03,04:00,40220.75,18375.75
2015-01-03,05:00,40012.25,18437.75
2015-01-03,06:00,40213.25,18683.75
2015-01-03,07:00,42881.50,21346.00
2015-01-03,08:00,46556.00,24969.00
2015-01-03,09:00,49657.75,27539.00
2015-01-03,10:00,51738.50,28980.50
2015-01-03,11:00,52963.00,30150.75
2015-01-03,12:00,52562.50,30486.00
2015-01-03,13:00,51453.75,30786.75
2015-01-03,14:00,50239.25,31916.50
2015-01-03,15:00,49500.25,33476.25
2015-01-03,16:00,50741.75,36328.75
2015-01-03,17:00,52569.00,39414.75
2015-01-03,18:00,52952.50,40964.75
2015-01-03,19:00,51891.00,40343.25
2015-01-03,20:00,49039.75,37194.00
2015-01-03,21:00,47277.25,34508.25
2015-01-03,22:00,46910.75,32930.75
2015-01-03,23:00,44334.75,28996.00
2015-01-04,00:00,41144.50,-
2015-01-04,01:00,38944.75,-
2015-01-04,02:00,37773.25,-
2015-01-04,03:00,37970.75,-
2015-01-04,04:00,37962.75,-
2015-01-04,05:00,37355.75,-
2015-01-04,06:00,35587.75,-
2015-01-04,07:00,36483.25,-
2015-01-04,08:00,39514.75,-
2015-01-04,09:00,43306.25,-
2015-01-04,10:00,45522.50,-
2015-01-04,11:00,47889.25,-
2015-01-04,12:00,48273.25,-
2015-01-04,13:00,46650.50,-
2015-01-04,14:00,45203.00,-
2015-01-04,15:00,44878.25,-
2015-01-04,16:00,46081.25,-
2015-01-04,17:00,49826.00,-
2015-01-04,18:00,51442.75,-
2015-01-04,19:00,50506.00,-
2015-01-04,20:00,47804.50,-
2015-01-04,21:00,46746.50,-
2015-01-04,22:00,46885.50,-
2015-01-04,23:00,44659.75,-
2015-01-05,00:00,43176.00,32614.50
2015-01-05,01:00,41597.75,30762.25
2015-01-05,02:00,40421.75,29460.75
2015-01-05,03:00,40404.25,29268.75
2015-01-05,04:00,41348.25,30016.75
2015-01-05,05:00,43645.25,32319.75
2015-01-05,06:00,49070.50,37997.00
2015-01-05,07:00,53972.00,43347.25
2015-01-05,08:00,56336.25,46157.25
2015-01-05,09:00,57556.00,46983.00
2015-01-05,10:00,58952.50,47454.25
2015-01-05,11:00,60158.75,47986.25
2015-01-05,12:00,60634.00,48496.50
2015-01-05,13:00,59365.00,48444.25
2015-01-05,14:00,57531.25,48714.50
2015-01-05,15:00,58482.75,51990.25
2015-01-05,16:00,58322.00,53523.25
2015-01-05,17:00,59898.25,55883.75
2015-01-05,18:00,60886.25,57270.75
2015-01-05,19:00,60314.00,56989.75
2015-01-05,20:00,56842.00,53721.50
2015-01-05,21:00,54007.00,51043.00
2015-01-05,22:00,52061.00,49303.25
2015-01-05,23:00,47866.75,45340.25
2015-01-06,00:00,45215.50,42905.00
2015-01-06,01:00,43978.00,41737.50
2015-01-06,02:00,42823.50,40679.75
